ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac
67,7.196,0.0875,0.1250,0.1250,0.0000,0.1667,0.2500,0,intermediate,0,24.018,22.0
68,4.204,0.0000,0.0000,0.0000,0.0000,0.0588,0.1667,0,amorphous,0,26.770,22.0
69,3.081,0.0132,0.0377,0.0000,0.0000,0.1154,0.2500,0,amorphous,0,-13.940,22.0
70,3.457,0.0159,0.0000,0.0455,0.0000,0.1707,0.3043,0,amorphous,0,1.741,22.0
71,7.635,0.0113,0.0000,0.0323,0.0000,0.1639,0.4103,0,amorphous,0,7.275,22.0
72,5.843,0.0000,0.0000,0.0000,0.0000,0.1897,0.4295,0,amorphous,0,23.602,22.0
73,5.050,0.0206,0.0588,0.0000,0.0000,0.1250,0.4257,0,amorphous,0,21.170,22.0
74,3.721,0.0000,0.0000,0.0000,0.0000,0.1154,0.2727,0,amorphous,0,18.239,22.0
75,2.159,0.0302,0.0465,0.0000,0.0465,0.1190,0.2941,0,amorphous,0,-7.139,22.0
76,3.500,0.0115,0.0000,0.0328,0.0000,0.1695,0.3726,0,amorphous,0,4.583,22.0
77,7.408,0.0136,0.0390,0.0000,0.0000,0.2267,0.4548,0,amorphous,0,11.317,22.0
78,6.042,0.0130,0.0000,0.0370,0.0000,0.1154,0.3708,0,amorphous,0,19.782,22.0
79,4.021,0.0000,0.0000,0.0000,0.0000,0.2857,0.5844,0,amorphous,0,-22.402,22.0
80,6.428,0.0152,0.0000,0.0435,0.0000,0.1111,0.3900,0,amorphous,0,-9.654,22.0
81,1.904,0.0000,0.0000,0.0000,0.0000,0.0938,0.3543,0,amorphous,0,6.476,22.0
82,7.710,0.0140,0.0400,0.0000,0.0000,0.2245,0.4948,0,amorphous,0,-16.536,22.0
83,8.489,0.0108,0.0000,0.0308,0.0000,0.1719,0.3692,0,intermediate,0,-11.920,22.0
84,2.983,0.0206,0.0588,0.0000,0.0000,0.1515,0.4341,0,amorphous,0,-18.590,22.0
85,7.918,0.0336,0.0517,0.0000,0.0517,0.1509,0.3686,0,intermediate,0,16.749,22.0
86,2.438,0.0135,0.0000,0.0385,0.0000,0.1200,0.3900,0,amorphous,0,-18.233,22.0
87,2.962,0.0154,0.0000,0.0000,0.0513,0.1842,0.4443,0,amorphous,0,26.153,22.0
88,5.030,0.0143,0.0408,0.0000,0.0000,0.0638,0.1579,0,amorphous,0,16.402,22.0
89,8.427,0.0111,0.0000,0.0317,0.0000,0.1967,0.4929,0,intermediate,0,2.303,22.0
90,1.878,0.0167,0.0476,0.0000,0.0000,0.1220,0.2941,0,amorphous,0,-14.865,22.0
91,5.488,0.0153,0.0000,0.0000,0.0508,0.1964,0.5067,0,amorphous,0,-7.353,22.0
92,4.864,0.0242,0.0000,0.0303,0.0455,0.2097,0.4733,0,amorphous,0,14.692,22.0
93,5.179,0.0184,0.0526,0.0000,0.0000,0.0541,0.1333,0,amorphous,0,-12.152,22.0
94,8.823,0.0350,0.0000,0.1000,0.0000,0.1667,0.3750,0,intermediate,0,-23.410,22.0
95,3.137,0.0179,0.0513,0.0000,0.0000,0.1714,0.5400,0,amorphous,0,23.061,22.0
96,3.998,0.0108,0.0000,0.0308,0.0000,0.1905,0.4733,0,amorphous,0,-2.617,22.0
97,8.591,0.0167,0.0000,0.0000,0.0556,0.0571,0.1250,0,intermediate,0,26.852,22.0
98,5.872,0.0317,0.0488,0.0000,0.0488,0.2000,0.5036,0,amorphous,0,5.914,22.0
99,8.451,0.0159,0.0455,0.0000,0.0000,0.1163,0.3900,0,intermediate,0,-13.518,22.0
100,7.349,0.0140,0.0000,0.0400,0.0000,0.0816,0.2650,0,amorphous,0,1.806,22.0
